Nombre de Imagen                         | Real (m)        | Predicho (m)    | Error (m)      
img_6                                    | 4505.00         | 1415.67         | 3089.33        
img_7                                    | 6411.00         | 6143.20         | 267.80         
img_0                                    | 2742.00         | 3375.34         | 633.34         
img_1                                    | 2627.00         | 2908.08         | 281.08         
img_2                                    | 2407.00         | 7666.94         | 5259.94        
img_3                                    | 1922.00         | 4262.33         | 2340.33        
img_4                                    | 5177.00         | 3231.31         | 1945.69        
img_5                                    | 4509.00         | 7065.09         | 2556.09        
img_6                                    | 213.00          | 395.42          | 182.42         
img_7                                    | 879.00          | 2144.59         | 1265.59        
img_0                                    | 1136.00         | 1443.62         | 307.62         
img_1                                    | 1153.00         | 1814.88         | 661.88         
img_2                                    | 1430.00         | 2275.31         | 845.31         
